Domain;Orientation
wn.de;
5min.at;
thueringer-allgemeine.de;
bkz.de;
kreiszeitung.de;
golem.de;
zak.de;
news38.de;
mt.de;
schwarzwaelder-bote.de;
jetzt.de;Left
zentrum-der-gesundheit.de;
cicero.de;Right
abendzeitung-muenchen.de;
merkur.de;Right
gmx.net;
andreaskalcker.com;
om-online.de;
bz-berlin.de;Right
frankenpost.de;
altermedzentrum.com;
n-tv.de;
deraktionaer.de;
transition-news.org;Right
aerztezeitung.de;
spektrum.de;
vienna.at;
rtde.website;Right
cnv-medien.de;
20min.ch;
exxpress.at;Right
nordsee-zeitung.de;
wa.de;
orf.at;
tagesanzeiger.ch;
waz-online.de;
pnn.de;
rheinische-anzeigenblaetter.de;
oekotest.de;
corona-live.at;
zvw.de;
oe24.at;Right
radiogong.de;
dw.com;
osthessen-news.de;
manager-magazin.de;
spiegel.de;Left
berliner-zeitung.de;Right
praxisvita.de;
echo-online.de;
tvo.de;
neuepresse.de;
sachsen-fernsehen.de;
wienerzeitung.at;Left
wiesbadener-kurier.de;
nordkurier.de;
soester-anzeiger.de;
telepolis.de;Left
rtde.team;Right
hildesheimer-allgemeine.de;